open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1667363400000,6.44000000,6.44000000,6.42000000,6.42000000,28499.92000000,1667364299999,183237.46970000,371,13000.03000000,83595.83690000,0
1667364300000,6.43000000,6.45000000,6.42000000,6.45000000,29609.03000000,1667365199999,190501.89870000,254,14898.06000000,95854.82490000,0
1667365200000,6.45000000,6.47000000,6.44000000,6.46000000,31425.01000000,1667366099999,202809.01070000,284,20067.13000000,129538.97900000,0
1667366100000,6.46000000,6.46000000,6.43000000,6.43000000,33209.35000000,1667366999999,213952.24950000,230,9223.54000000,59434.68810000,0
1667367000000,6.43000000,6.45000000,6.42000000,6.43000000,24623.95000000,1667367899999,158398.91150000,215,6137.75000000,39499.60490000,0
1667367900000,6.43000000,6.44000000,6.42000000,6.42000000,15483.82000000,1667368799999,99554.53600000,213,1958.46000000,12604.11170000,0
1667368800000,6.42000000,6.43000000,6.41000000,6.41000000,20361.20000000,1667369699999,130641.29780000,204,1446.31000000,9287.33360000,0
1667369700000,6.41000000,6.42000000,6.40000000,6.40000000,27630.42000000,1667370599999,177193.38380000,241,7494.75000000,48102.21790000,0
1667370600000,6.40000000,6.41000000,6.40000000,6.40000000,32839.34000000,1667371499999,210352.56220000,237,11926.65000000,76449.82650000,0
1667371500000,6.41000000,6.41000000,6.40000000,6.40000000,24635.16000000,1667372399999,157711.81470000,305,4679.07000000,29992.83870000,0
1667372400000,6.41000000,6.41000000,6.37000000,6.39000000,51865.34000000,1667373299999,331292.67840000,673,19804.03000000,126442.73690000,0
1667373300000,6.39000000,6.39000000,6.32000000,6.36000000,129650.09000000,1667374199999,822641.41580000,1656,70895.01000000,450009.58730000,0
1667374200000,6.36000000,6.38000000,6.34000000,6.37000000,43559.48000000,1667375099999,276977.65540000,440,25263.39000000,160740.21900000,0
1667375100000,6.37000000,6.38000000,6.36000000,6.37000000,13925.53000000,1667375999999,88688.35040000,220,1888.05000000,12039.54250000,0
1667376000000,6.36000000,6.37000000,6.34000000,6.35000000,40418.20000000,1667376899999,257114.98980000,382,15615.97000000,99440.82600000,0
1667376900000,6.35000000,6.39000000,6.34000000,6.38000000,39141.78000000,1667377799999,249128.25740000,320,27504.44000000,175082.06810000,0
1667377800000,6.38000000,6.40000000,6.37000000,6.39000000,55836.79000000,1667378699999,356518.64660000,437,27457.32000000,175424.17590000,0
1667378700000,6.40000000,6.46000000,6.39000000,6.44000000,217179.10000000,1667379599999,1396491.74210000,1422,107120.34000000,689197.93730000,0
1667379600000,6.44000000,6.47000000,6.40000000,6.42000000,102567.32000000,1667380499999,659753.59690000,965,59506.33000000,382901.68420000,0
1667380500000,6.41000000,6.43000000,6.39000000,6.40000000,50190.80000000,1667381399999,321586.30440000,370,12517.44000000,80246.32170000,0
1667381400000,6.40000000,6.40000000,6.34000000,6.37000000,106413.08000000,1667382299999,676972.38970000,961,46443.39000000,295549.87530000,0
1667382300000,6.38000000,6.39000000,6.33000000,6.34000000,82146.76000000,1667383199999,522926.26320000,651,35020.90000000,223149.86880000,0
1667383200000,6.33000000,6.34000000,6.28000000,6.33000000,163428.52000000,1667384099999,1030973.06780000,2120,64613.25000000,407926.02290000,0
1667384100000,6.33000000,6.35000000,6.32000000,6.33000000,46992.08000000,1667384999999,297625.82270000,528,22753.95000000,144181.20820000,0
1667385000000,6.33000000,6.36000000,6.32000000,6.36000000,67261.83000000,1667385899999,426862.83100000,528,30886.49000000,196017.63860000,0
1667385900000,6.36000000,6.36000000,6.33000000,6.35000000,15112.05000000,1667386799999,95893.73280000,207,6209.19000000,39429.02210000,0
1667386800000,6.36000000,6.37000000,6.35000000,6.37000000,37442.82000000,1667387699999,238269.37150000,264,33737.11000000,214731.23270000,0
1667387700000,6.36000000,6.37000000,6.35000000,6.35000000,40529.78000000,1667388599999,257592.36180000,286,4427.74000000,28174.55240000,0
1667388600000,6.35000000,6.38000000,6.35000000,6.37000000,44181.99000000,1667389499999,281451.29150000,393,33533.61000000,213698.68670000,0
1667389500000,6.37000000,6.38000000,6.35000000,6.36000000,41497.53000000,1667390399999,264053.50910000,281,9055.17000000,57614.05080000,0
1667390400000,6.36000000,6.36000000,6.35000000,6.35000000,25317.03000000,1667391299999,160881.89920000,294,5886.73000000,37439.60280000,0
1667391300000,6.35000000,6.38000000,6.33000000,6.34000000,85372.36000000,1667392199999,542328.57390000,624,32773.50000000,208284.62090000,0
1667392200000,6.34000000,6.36000000,6.33000000,6.35000000,39968.40000000,1667393099999,253618.27730000,307,14952.21000000,94899.72160000,0
1667393100000,6.34000000,6.35000000,6.34000000,6.35000000,13746.55000000,1667393999999,87184.82330000,182,3169.63000000,20127.15050000,0
1667394000000,6.34000000,6.38000000,6.33000000,6.36000000,36152.60000000,1667394899999,229848.50520000,317,15483.52000000,98402.50790000,0
1667394900000,6.36000000,6.37000000,6.35000000,6.35000000,17721.92000000,1667395799999,112691.53450000,199,3588.95000000,22836.40970000,0
1667395800000,6.36000000,6.36000000,6.32000000,6.35000000,57695.19000000,1667396699999,365619.15710000,530,21442.99000000,135858.00370000,0
1667396700000,6.34000000,6.36000000,6.33000000,6.34000000,57955.42000000,1667397599999,367938.29490000,295,28495.44000000,180938.62470000,0
1667397600000,6.35000000,6.38000000,6.33000000,6.38000000,51572.96000000,1667398499999,327364.48420000,423,28089.01000000,178396.15690000,0
1667398500000,6.38000000,6.38000000,6.35000000,6.36000000,30954.97000000,1667399399999,197077.15120000,306,12948.45000000,82476.05820000,0
1667399400000,6.36000000,6.40000000,6.34000000,6.39000000,115996.44000000,1667400299999,739178.98900000,831,68124.95000000,434141.45570000,0
1667400300000,6.39000000,6.40000000,6.35000000,6.36000000,89424.23000000,1667401199999,570044.03100000,537,21643.81000000,138204.96300000,0
1667401200000,6.36000000,6.37000000,6.33000000,6.34000000,94199.12000000,1667402099999,598536.54950000,520,26133.57000000,166117.18000000,0
1667402100000,6.33000000,6.35000000,6.33000000,6.34000000,27802.71000000,1667402999999,176150.87540000,258,19206.84000000,121706.61910000,0
1667403000000,6.35000000,6.35000000,6.33000000,6.33000000,27685.14000000,1667403899999,175604.04840000,259,12517.21000000,79414.13000000,0
1667403900000,6.34000000,6.34000000,6.32000000,6.32000000,18347.82000000,1667404799999,116146.82160000,246,2282.02000000,14465.95950000,0
1667404800000,6.32000000,6.33000000,6.30000000,6.32000000,34063.26000000,1667405699999,215113.36570000,399,9609.81000000,60729.59440000,0
1667405700000,6.31000000,6.32000000,6.28000000,6.29000000,39942.03000000,1667406599999,251534.65920000,458,10005.47000000,63129.72120000,0
1667406600000,6.29000000,6.32000000,6.26000000,6.32000000,95976.00000000,1667407499999,603264.92540000,1090,56175.48000000,353596.98160000,0
1667407500000,6.32000000,6.36000000,6.30000000,6.35000000,44106.70000000,1667408399999,279454.49050000,464,28876.58000000,182958.17280000,0
1667408400000,6.35000000,6.36000000,6.32000000,6.34000000,50861.33000000,1667409299999,322213.60090000,322,25261.84000000,160093.36360000,0
1667409300000,6.34000000,6.35000000,6.32000000,6.35000000,26479.54000000,1667410199999,167591.68030000,267,13121.56000000,83090.69410000,0
1667410200000,6.35000000,6.36000000,6.33000000,6.34000000,40208.25000000,1667411099999,255087.92920000,388,17181.19000000,109054.15490000,0
1667411100000,6.34000000,6.35000000,6.28000000,6.31000000,93502.17000000,1667411999999,590211.49890000,893,41069.65000000,259291.53500000,0
1667412000000,6.30000000,6.52000000,6.26000000,6.48000000,433539.97000000,1667412899999,2790435.61690000,6729,232528.11000000,1498549.09860000,0
1667412900000,6.49000000,6.53000000,6.48000000,6.52000000,104385.52000000,1667413799999,678398.41190000,1157,61366.25000000,398957.10380000,0
1667413800000,6.52000000,6.53000000,6.37000000,6.47000000,430960.81000000,1667414699999,2778856.99670000,4105,212085.51000000,1368142.98920000,0
1667414700000,6.46000000,6.48000000,6.34000000,6.39000000,315074.80000000,1667415599999,2015760.03260000,2727,137156.42000000,878079.45230000,0
1667415600000,6.39000000,6.47000000,6.38000000,6.43000000,142265.62000000,1667416499999,914462.67930000,1313,76606.60000000,493051.94870000,0
1667416500000,6.42000000,6.43000000,6.25000000,6.30000000,239630.44000000,1667417399999,1517481.03530000,2708,87790.83000000,555611.90750000,0
1667417400000,6.31000000,6.33000000,6.26000000,6.32000000,137755.51000000,1667418299999,866660.67890000,1128,66697.96000000,419747.64820000,0
1667418300000,6.32000000,6.32000000,6.28000000,6.29000000,46034.40000000,1667419199999,290124.36940000,492,20198.56000000,127310.28900000,0
1667419200000,6.29000000,6.32000000,6.25000000,6.26000000,80535.59000000,1667420099999,506367.22230000,773,32168.42000000,202377.11800000,0
